run_accession	sample_alias	country	collection_date
SRR31969808	2b2068n1	USA: Arizona	2019
SRR31969809	2b2068n1	USA: Arizona	2019
SRR31969810	2a4023n1	USA: Arizona	2019
SRR31969817	2b4022n1	USA: Arizona	2019
SRR31969820	2b4022n1	USA: Arizona	2019
SRR31969822	2b3034n1	USA: Arizona	2019
SRR31969824	2b2068n1	USA: Arizona	2019
SRR31969825	2b2068n1	USA: Arizona	2019
SRR31969826	2b2068n1	USA: Arizona	2019
SRR31969828	2b2048n1	USA: Arizona	2019
SRR31969832	2b2027n1	USA: Arizona	2019
SRR31969834	2a4060n1	USA: Arizona	2019
SRR31969835	2a4039n1	USA: Arizona	2019
SRR31969812	2e5018n1	USA: Arizona	2019
SRR31969813	2e5018n1	USA: Arizona	2019
SRR31969819	2a3017n1	USA: Arizona	2019
SRR31969821	2b3034n1	USA: Arizona	2019
SRR31969823	2b3034n1	USA: Arizona	2019
SRR31969831	2b2027n1	USA: Arizona	2019
SRR31969833	2a4060n1	USA: Arizona	2019
SRR31969838	2a4023n1	USA: Arizona	2019
SRR31969842	2a3017n1	USA: Arizona	2019
SRR31969836	2a4039n1	USA: Arizona	2019
SRR31969848	2a3002n1	USA: Arizona	2019
SRR31969849	2a3002n1	USA: Arizona	2019
SRR31969852	2a2027n1	USA: Arizona	2019
SRR31969858	2a3005n1	USA: Arizona	2019
SRR31969859	2a3005n1	USA: Arizona	2019
SRR31969860	2a4039n1	USA: Arizona	2019
SRR31969837	2a4023n1	USA: Arizona	2019
SRR31969839	2a4018n1	USA: Arizona	2019
SRR31969844	2a3005n1	USA: Arizona	2019
SRR31969845	2a3005n1	USA: Arizona	2019
SRR31969850	2a2050n1	USA: Arizona	2019
SRR31969853	2a2050n1	USA: Arizona	2019
SRR31969811	2a2005n1	USA: Arizona	2019
SRR31969814	2d4019n1	USA: Arizona	2019
SRR31969815	2d4019n1	USA: Arizona	2019
SRR31969816	2d4019n1	USA: Arizona	2019
SRR31969818	2b4022n1	USA: Arizona	2019
SRR31969857	2a2005n1	USA: Arizona	2019
SRR31969827	2b2048n1	USA: Arizona	2019
SRR31969861	2a4039n1	USA: Arizona	2019
SRR31969829	2b2048n1	USA: Arizona	2019
SRR31969862	2b2048n1	USA: Arizona	2019
SRR31969830	2a3017n1	USA: Arizona	2019
SRR31969863	2a4060n1	USA: Arizona	2019
SRR31969840	2a4018n1	USA: Arizona	2019
SRR31969864	2a4060n1	USA: Arizona	2019
SRR31969841	2a2027n1	USA: Arizona	2019
SRR31969843	2a3017n1	USA: Arizona	2019
SRR31969846	2a3002n1	USA: Arizona	2019
SRR31969847	2a3002n1	USA: Arizona	2019
SRR31969851	2a2050n1	USA: Arizona	2019
SRR31969854	2a2027n1	USA: Arizona	2019
SRR31969855	2a2027n1	USA: Arizona	2019
SRR31969856	2a2005n1	USA: Arizona	2019
SRR31969604	13-R1	USA: Arizona	2019
SRR31969610	Mix 6 (13 - 5)	USA: Arizona	2019
SRR31969614	Mix 31 (17 - 18)	USA: Arizona	2019
SRR31969624	Mix 16 (12 - 10)	USA: Arizona	2019
SRR31969629	6-R1	USA: Arizona	2019
SRR31969631	5-R1	USA: Arizona	2019
SRR31969632	3-R1	USA: Arizona	2019
SRR31969635	1-R1	USA: Arizona	2019
SRR31969605	13-R1	USA: Arizona	2019
SRR31969606	12-R1	USA: Arizona	2019
SRR31969608	Mix 8 (15 - 6)	USA: Arizona	2019
SRR31969609	Mix 7 (6 - 15)	USA: Arizona	2019
SRR31969612	Mix 4 (12 - 3)	USA: Arizona	2019
SRR31969616	Mix 2 (10 - 1)	USA: Arizona	2019
SRR31969602	17-R1	USA: Arizona	2019
SRR31969617	Mix 26 (10 - 9)	USA: Arizona	2019
SRR31969603	15-R1	USA: Arizona	2019
SRR31969619	Mix 20 (11 - 9)	USA: Arizona	2019
SRR31969607	12-R1	USA: Arizona	2019
SRR31969620	Mix 1 (1 - 10)	USA: Arizona	2019
SRR31969611	Mix 5 (5 - 13)	USA: Arizona	2019
SRR31969621	Mix 19 (9 - 11)	USA: Arizona	2019
SRR31969613	Mix 32 (18 - 17)	USA: Arizona	2019
SRR31969625	9-R1	USA: Arizona	2019
SRR31969615	11-R1	USA: Arizona	2019
SRR31969627	9-R1	USA: Arizona	2019
SRR31969618	Mix 25 (9 - 10)	USA: Arizona	2019
SRR31969622	Mix 18 (17 - 15)	USA: Arizona	2019
SRR31969628	6-R1	USA: Arizona	2019
SRR31969623	Mix 17 (15 - 17)	USA: Arizona	2019
SRR31969630	5-R1	USA: Arizona	2019
SRR31969626	11-R1	USA: Arizona	2019
SRR31969634	1-R1	USA: Arizona	2019
SRR31969633	3-R1	USA: Arizona	2019
SRR31969636	18-R1	USA: Arizona	2019
SRR31969637	10-R1	USA: Arizona	2019
SRR31969638	10-R1	USA: Arizona	2019
