SampleID	SSPOOL	specimen_id	Pools
MADH002_MPN18158_A52_S122_L001	SSPOOL1	M0005106	A52
MADH094_MPN18158_8073803160_A52_S302	SSPOOL18	M0005106	A52
MADH009_MPN18158_A52_S176	SSPOOL2	M0005106	A52
MADH056_ZAM-R1127_8071122520_A52_S241	SSPOOL10	ZM008P090	A52
MADH016_ZAM-R1127_8071121831_A52_S314_L001	SSPOOL3	ZM008P090	A52
MADH015_ZAM-R1127_8071121831_A52_S106_L001	SSPOOL4	ZM008P090	A52
MADH059_ZAM-R1145_8071088293_A52_S198	SSPOOL12	ZM019P180	A52
MADH015_ZAM-R1145_8071122120_A52_S238_L001	SSPOOL3	ZM019P180	A52
MADH016_ZAM-R1145_8071122120_A52_S316_L001	SSPOOL3	ZM019P180	A52
MADH015_ZAM-R1145_8071122120_A52_S124_L001	SSPOOL4	ZM019P180	A52
MADH059_ZAM-R1118_8071088525_A52_S221	SSPOOL12	ZM019P194	A52
MADH15_ZAM-R1118_8071122219_A52_S315	SSPOOL25	ZM019P194	A52
MADH059_ZAM-R1118_8071088525_A52_S100	SSPOOL26	ZM019P194	A52
MADH015_ZAM-R1118_8071122219_A52_S100_L001	SSPOOL4	ZM019P194	A52
MADH076_ZAM-C349_8071093723_A52_S102	SSPOOL14	ZMC-120-39	A52
MADH102_ZAM-R2260_8071096883_A52_S110	SSPOOL20	ZMC-120-39	A52
MADH102_ZAM-C349_8071093723_A52_S98	SSPOOL20	ZMC-120-39	A52
MADH036_ZAM-R2260_8071096883_A52_S91	SSPOOL6	ZMC-120-39	A52
MADH072_ZAM-C2369_8071092762_A52_S193	SSPOOL15	ZMC-123-35	A52
MADH098_ZAM-C2369_8071092762_A52_S182	SSPOOL19	ZMC-123-35	A52
MADHF005_ZMC-123-35_8076951715_A52_S469	SSPOOLUCSF2	ZMC-123-35	A52
MADH034_ZAM-R1463_8071088521_A52_S380	SSPOOL25	ZMC-125-37	A52
MADH034_ZAM-R1463_8071088521_A52_S184	SSPOOL5	ZMC-125-37	A52
MADH017_ZAM-R1463_8071091542_A52_S32	SSPOOL8	ZMC-125-37	A52
MADH072_ZAM-C2405_8071092926_A52_S232	SSPOOL15	ZMC-192-35	A52
MADH098_ZAM-C2405_8071092926_A52_S190	SSPOOL19	ZMC-192-35	A52
MADHF004_ZMC-192-35_8076951670_A52_S367	SSPOOLUCSF2	ZMC-192-35	A52
